2012359;2012-12-31;309;
2012358;2012-12-30;554;
2012357;2012-12-29;194;
2012356;2012-12-28;546;
2012355;2012-12-27;636;
2012354;2012-12-26;779;
2012353;2012-12-25;823;
2012352;2012-12-24;123;
2012351;2012-12-23;35;
2012350;2012-12-22;676;
2012349;2012-12-21;266;
2012348;2012-12-20;851;
2012347;2012-12-19;576;
2012346;2012-12-18;992;
2012345;2012-12-17;896;
2012344;2012-12-16;293;
2012343;2012-12-15;296;
2012342;2012-12-14;373;
2012341;2012-12-13;204;
2012340;2012-12-12;46;
2012339;2012-12-11;294;
2012338;2012-12-10;97;
2012337;2012-12-09;576;
2012336;2012-12-08;250;
2012335;2012-12-07;493;
2012334;2012-12-06;6;
2012333;2012-12-05;744;
2012332;2012-12-04;523;
2012331;2012-12-03;382;
2012330;2012-12-02;534;
2012329;2012-12-01;595;
2012328;2012-11-30;644;
2012327;2012-11-29;310;
2012326;2012-11-28;814;
2012325;2012-11-27;656;
2012324;2012-11-26;114;
2012323;2012-11-25;889;
2012322;2012-11-24;524;
2012321;2012-11-23;936;
2012320;2012-11-22;428;
2012319;2012-11-21;286;
2012318;2012-11-20;110;
2012317;2012-11-19;315;
2012316;2012-11-18;709;
2012315;2012-11-17;371;
2012314;2012-11-16;181;
2012313;2012-11-15;743;
2012312;2012-11-14;831;
2012311;2012-11-13;743;
2012310;2012-11-12;899;
2012309;2012-11-11;71;
2012308;2012-11-10;921;
2012307;2012-11-09;974;
2012306;2012-11-08;57;
2012305;2012-11-07;42;
2012304;2012-11-06;150;
2012303;2012-11-05;764;
2012302;2012-11-04;317;
2012301;2012-11-03;706;
2012300;2012-11-02;539;
2012299;2012-11-01;925;
2012298;2012-10-31;408;
2012297;2012-10-30;156;
2012296;2012-10-29;407;
2012295;2012-10-28;103;
2012294;2012-10-27;5;
2012293;2012-10-26;61;
2012292;2012-10-25;646;
2012291;2012-10-24;199;
2012290;2012-10-23;99;
2012289;2012-10-22;34;
2012288;2012-10-21;94;
2012287;2012-10-20;271;
2012286;2012-10-19;304;
2012285;2012-10-18;997;
2012284;2012-10-17;756;
2012283;2012-10-16;166;
2012282;2012-10-15;866;
2012281;2012-10-14;438;
2012280;2012-10-13;718;
2012279;2012-10-12;538;
2012278;2012-10-11;21;
2012277;2012-10-10;994;
2012276;2012-10-09;468;
2012275;2012-10-08;447;
2012274;2012-10-07;267;
2012273;2012-10-06;667;
2012272;2012-10-05;989;
2012271;2012-10-04;140;
2012270;2012-10-03;992;
2012269;2012-10-02;625;
2012268;2012-10-01;339;
2012267;2012-09-30;343;
2012266;2012-09-29;181;
2012265;2012-09-28;419;
2012264;2012-09-27;797;
2012263;2012-09-26;799;
2012262;2012-09-25;869;
2012261;2012-09-24;401;
2012260;2012-09-23;442;
2012259;2012-09-22;340;
2012258;2012-09-21;913;
2012257;2012-09-20;773;
2012256;2012-09-19;694;
2012255;2012-09-18;132;
2012254;2012-09-17;203;
2012253;2012-09-16;466;
2012252;2012-09-15;670;
2012251;2012-09-14;195;
2012250;2012-09-13;23;
2012249;2012-09-12;412;
2012248;2012-09-11;690;
2012247;2012-09-10;514;
2012246;2012-09-09;578;
2012245;2012-09-08;749;
2012244;2012-09-07;936;
2012243;2012-09-06;237;
2012242;2012-09-05;572;
2012241;2012-09-04;247;
2012240;2012-09-03;167;
2012239;2012-09-02;810;
2012238;2012-09-01;307;
2012237;2012-08-31;739;
2012236;2012-08-30;332;
2012235;2012-08-29;422;
2012234;2012-08-28;418;
2012233;2012-08-27;897;
2012232;2012-08-26;708;
2012231;2012-08-25;908;
2012230;2012-08-24;333;
2012229;2012-08-23;149;
2012228;2012-08-22;108;
2012227;2012-08-21;485;
2012226;2012-08-20;879;
2012225;2012-08-19;652;
2012224;2012-08-18;573;
2012223;2012-08-17;93;
2012222;2012-08-16;99;
2012221;2012-08-15;351;
2012220;2012-08-14;98;
2012219;2012-08-13;152;
2012218;2012-08-12;565;
2012217;2012-08-11;253;
2012216;2012-08-10;873;
2012215;2012-08-09;284;
2012214;2012-08-08;965;
2012213;2012-08-07;297;
2012212;2012-08-06;547;
2012211;2012-08-05;843;
2012210;2012-08-04;393;
2012209;2012-08-03;641;
2012208;2012-08-02;613;
2012207;2012-08-01;30;
2012206;2012-07-31;265;
2012205;2012-07-30;295;
2012204;2012-07-29;108;
2012203;2012-07-28;583;
2012202;2012-07-27;398;
2012201;2012-07-26;803;
2012200;2012-07-25;632;
2012199;2012-07-24;503;
2012198;2012-07-23;619;
2012197;2012-07-22;639;
2012196;2012-07-21;877;
2012195;2012-07-20;626;
2012194;2012-07-19;346;
2012193;2012-07-18;944;
2012192;2012-07-17;928;
2012191;2012-07-16;558;
2012190;2012-07-15;964;
2012189;2012-07-14;83;
2012188;2012-07-13;252;
2012187;2012-07-12;484;
2012186;2012-07-11;247;
2012185;2012-07-10;309;
2012184;2012-07-09;921;
2012183;2012-07-08;245;
2012182;2012-07-07;861;
2012181;2012-07-06;847;
2012180;2012-07-05;277;
2012179;2012-07-04;921;
2012178;2012-07-03;127;
2012177;2012-07-02;694;
2012176;2012-07-01;327;
2012175;2012-06-30;976;
2012174;2012-06-29;875;
2012173;2012-06-28;887;
2012172;2012-06-27;769;
2012171;2012-06-26;242;
2012170;2012-06-25;661;
2012169;2012-06-24;12;
2012168;2012-06-23;405;
2012167;2012-06-22;212;
2012166;2012-06-21;112;
2012165;2012-06-20;364;
2012164;2012-06-19;651;
